fornecedor_id,razao_social,cnpj,uf,porte,especialidade_principal,especialidades,nota_desempenho,num_contratos_ativos,situacao_sicaf,dt_cadastro
FORN-0001,Express Engenharia Ltda,21.819.600/1338-90,AL,EPP,Facilities - Recepção,Facilities - Recepção|Material de Escritório,5.8,1,Irregular,2020-03-25
FORN-0002,Net Transporte ME,02.654.235/1161-55,SE,Médio,Logística - Transporte,Logística - Transporte,8.0,1,Regular,2020-12-19
FORN-0003,Sul Serviços ME,84.959.310/3413-16,CE,Médio,Consultoria - Jurídica,Consultoria - Jurídica|TI - Licenciamento,7.5,1,Regular,2023-02-01
FORN-0004,Express Telecomunicações S.A.,41.928.327/6483-50,PE,EPP,Facilities - Vigilância,Facilities - Vigilância,6.9,3,Regular,2018-05-12
FORN-0005,Sul Construções ME,95.376.724/2388-49,AM,ME,Facilities - Vigilância,Facilities - Vigilância,5.8,3,Regular,2022-06-24
FORN-0006,Smart Segurança S.A.,12.269.166/9784-80,MS,ME,TI - Licenciamento,TI - Licenciamento|TI - Desenvolvimento,8.1,2,Regular,2019-04-15
FORN-0007,Fast Transporte Eireli,46.270.482/8148-93,PR,EPP,Segurança Patrimonial,Segurança Patrimonial|Engenharia - Obras,8.7,3,Regular,2022-03-12
FORN-0008,Norte Logística EPP,57.015.430/3911-71,AC,Médio,Material de Escritório,Material de Escritório|TI - Infraestrutura|Logística - Armazenagem,5.7,4,Regular,2023-12-22
FORN-0009,Norte Consultoria S.A.,89.638.346/5787-13,PE,ME,Facilities - Limpeza,Facilities - Limpeza|Logística - Transporte,6.0,3,Regular,2018-09-20
FORN-0010,Master Soluções EPP,10.310.518/3473-82,TO,EPP,Facilities - Recepção,Facilities - Recepção|TI - Infraestrutura,5.1,1,Regular,2023-04-21
FORN-0011,Brasil Manutenção ME,65.667.010/6513-33,AL,Grande,Engenharia - Obras,Engenharia - Obras,6.5,0,Regular,2023-01-12
FORN-0012,Omega Gestão S.A.,17.810.801/3267-73,MA,ME,Facilities - Recepção,Facilities - Recepção,8.4,8,Vencido,2018-08-29
FORN-0013,Prime Infraestrutura Ltda,68.723.430/9805-00,PI,EPP,Logística - Transporte,Logística - Transporte|Treinamento e Capacitação|Engenharia - Manutenção,8.7,3,Regular,2023-05-07
FORN-0014,Max Limpeza S.A.,12.191.361/9399-09,MG,Médio,Material de Escritório,Material de Escritório,9.5,2,Regular,2022-09-14
FORN-0015,Fast Limpeza Eireli,46.247.510/7991-18,DF,ME,Facilities - Vigilância,Facilities - Vigilância|Segurança Patrimonial|Engenharia - Obras,5.4,3,Regular,2023-09-04
FORN-0016,Nacional Consultoria Eireli,27.849.808/4124-11,TO,ME,Facilities - Recepção,Facilities - Recepção|Consultoria - Gestão|Engenharia - Manutenção,9.1,6,Regular,2019-09-29
FORN-0017,Nacional Digital EPP,34.874.016/4005-24,BA,Grande,Segurança Patrimonial,Segurança Patrimonial,9.6,2,Regular,2022-12-15
FORN-0018,Top Gestão EPP,28.059.826/2045-05,DF,Médio,TI - Licenciamento,TI - Licenciamento,7.8,0,Irregular,2020-10-19
FORN-0019,Fast Engenharia Eireli,32.260.256/3421-60,PB,Grande,Marketing e Comunicação,Marketing e Comunicação|Engenharia - Manutenção,7.5,2,Regular,2020-06-30
FORN-0020,Tech Administração Eireli,30.365.414/5868-50,RS,ME,Facilities - Recepção,Facilities - Recepção,7.1,1,Regular,2020-12-05
FORN-0021,Prime Sistemas Ltda,55.698.169/3406-08,AP,EPP,Marketing e Comunicação,Marketing e Comunicação,7.5,3,Regular,2020-03-18
FORN-0022,Smart Gestão Ltda,14.846.564/8236-62,SE,EPP,Segurança Patrimonial,Segurança Patrimonial|Material de Escritório|Seguros,7.5,2,Regular,2021-05-17
FORN-0023,Mega Transporte Ltda,69.957.773/8721-48,MS,Médio,Facilities - Vigilância,Facilities - Vigilância,8.0,3,Regular,2021-10-04
FORN-0024,Delta Segurança Eireli,20.037.917/6936-76,PE,ME,Facilities - Vigilância,Facilities - Vigilância,10.0,6,Regular,2019-08-28
FORN-0025,Express Soluções Ltda,87.083.172/7889-57,SE,ME,Facilities - Recepção,Facilities - Recepção|Facilities - Limpeza,7.6,1,Regular,2023-08-30
FORN-0026,Ultra Transporte ME,34.873.471/4345-58,MG,Grande,Seguros,Seguros|Treinamento e Capacitação|Engenharia - Manutenção,6.7,1,Regular,2019-07-21
FORN-0027,Omega Segurança ME,66.587.603/6690-96,PB,Médio,Facilities - Vigilância,Facilities - Vigilância|TI - Licenciamento,8.4,1,Regular,2018-01-25
FORN-0028,Smart Digital ME,34.670.656/2729-80,MA,ME,Marketing e Comunicação,Marketing e Comunicação|Facilities - Recepção|Seguros,7.3,3,Regular,2018-04-22
FORN-0029,Delta Gestão S.A.,65.375.564/6417-08,RJ,EPP,Facilities - Limpeza,Facilities - Limpeza|TI - Desenvolvimento|Engenharia - Manutenção,7.6,2,Regular,2021-12-04
FORN-0030,Brasil Tecnologia Ltda,09.232.719/3745-29,SE,Médio,Facilities - Recepção,Facilities - Recepção|Facilities - Vigilância,8.3,4,Regular,2019-04-15
FORN-0031,Norte Logística Eireli,49.663.193/1491-90,PA,Grande,TI - Infraestrutura,TI - Infraestrutura,7.9,0,Vencido,2023-12-23
FORN-0032,Ultra Telecomunicações Ltda,67.165.726/2849-87,ES,EPP,Segurança Patrimonial,Segurança Patrimonial|TI - Infraestrutura,6.4,4,Irregular,2022-11-20
FORN-0033,Leste Sistemas Eireli,73.799.650/7527-35,AP,ME,TI - Licenciamento,TI - Licenciamento|Logística - Transporte|Treinamento e Capacitação,9.5,4,Vencido,2020-11-24
FORN-0034,Master Sistemas EPP,83.136.783/7770-14,PE,ME,Logística - Transporte,Logística - Transporte|TI - Infraestrutura,6.4,6,Regular,2022-07-15
FORN-0035,Net Segurança Eireli,88.568.557/4443-13,GO,ME,Consultoria - Gestão,Consultoria - Gestão|Seguros,6.1,0,Regular,2019-05-05
FORN-0036,Sol Transporte S.A.,49.894.134/3524-08,PR,ME,Seguros,Seguros,9.0,6,Vencido,2021-01-28
FORN-0037,Beta Serviços EPP,71.094.777/5204-71,RR,Grande,Engenharia - Manutenção,Engenharia - Manutenção,6.2,2,Regular,2018-09-25
FORN-0038,Mega Manutenção Ltda,29.413.186/9993-86,ES,EPP,TI - Desenvolvimento,TI - Desenvolvimento|Engenharia - Manutenção,5.2,3,Vencido,2022-12-19
FORN-0039,Global Gestão Eireli,33.412.328/1206-79,PB,EPP,TI - Desenvolvimento,TI - Desenvolvimento|Engenharia - Obras,6.2,2,Vencido,2021-04-07
FORN-0040,Beta Segurança Eireli,34.936.183/2421-02,AP,EPP,Treinamento e Capacitação,Treinamento e Capacitação|TI - Licenciamento,6.0,6,Irregular,2021-06-13
FORN-0041,Premium Digital ME,64.887.719/0659-40,MG,ME,Logística - Armazenagem,Logística - Armazenagem,7.3,1,Regular,2020-07-26
FORN-0042,Fast Soluções Eireli,87.429.671/7565-51,BA,Médio,Facilities - Limpeza,Facilities - Limpeza|Seguros,6.5,3,Vencido,2021-09-12
FORN-0043,Ultra Manutenção Eireli,71.545.168/0876-03,RN,EPP,Consultoria - Jurídica,Consultoria - Jurídica|TI - Desenvolvimento,6.9,0,Vencido,2022-01-21
FORN-0044,Premium Manutenção ME,82.477.109/3248-08,AM,EPP,Facilities - Vigilância,Facilities - Vigilância|Logística - Transporte,7.6,3,Regular,2019-01-17
FORN-0045,Brasil Engenharia ME,48.467.737/8263-98,TO,Médio,Engenharia - Manutenção,Engenharia - Manutenção|Seguros|Treinamento e Capacitação,10.0,6,Regular,2019-07-14
FORN-0046,Oeste Tecnologia Eireli,84.044.997/2787-55,AL,Médio,Marketing e Comunicação,Marketing e Comunicação|Segurança Patrimonial,10.0,1,Vencido,2022-03-26
FORN-0047,Super Construções S.A.,60.576.627/0289-51,ES,Grande,Facilities - Recepção,Facilities - Recepção|Consultoria - Jurídica|Engenharia - Obras,6.3,1,Regular,2019-02-13
FORN-0048,Max Administração Ltda,17.459.615/8657-80,SE,ME,Marketing e Comunicação,Marketing e Comunicação|Engenharia - Manutenção,10.0,1,Irregular,2018-10-08
FORN-0049,Brasil Digital S.A.,17.240.050/4556-23,RN,EPP,Marketing e Comunicação,Marketing e Comunicação|Engenharia - Obras,10.0,2,Irregular,2022-08-15
FORN-0050,Elite Logística S.A.,93.792.374/7407-48,BA,ME,Consultoria - Jurídica,Consultoria - Jurídica,9.0,1,Regular,2018-10-30
FORN-0051,Super Telecomunicações EPP,47.436.713/6959-44,SP,EPP,Marketing e Comunicação,Marketing e Comunicação,6.7,2,Vencido,2022-06-10
FORN-0052,Nacional Soluções EPP,43.953.394/2104-70,PI,Médio,TI - Desenvolvimento,TI - Desenvolvimento|Seguros|Marketing e Comunicação,9.1,0,Regular,2022-02-03
FORN-0053,Sol Consultoria Ltda,32.858.842/4745-17,MG,Médio,Segurança Patrimonial,Segurança Patrimonial|Marketing e Comunicação|TI - Licenciamento,9.2,2,Regular,2019-07-31
FORN-0054,Norte Segurança ME,60.481.754/9651-37,SP,ME,Consultoria - Gestão,Consultoria - Gestão|TI - Licenciamento|Consultoria - Jurídica,7.5,5,Regular,2021-09-05
FORN-0055,Inter Segurança Ltda,61.200.471/1382-67,PA,Grande,Treinamento e Capacitação,Treinamento e Capacitação|Logística - Armazenagem,9.2,2,Regular,2022-09-13
FORN-0056,Elite Consultoria ME,40.537.735/1585-06,CE,ME,Seguros,Seguros|Marketing e Comunicação,8.2,0,Regular,2020-02-17
FORN-0057,Sigma Administração Ltda,53.293.183/9335-29,SP,Médio,TI - Infraestrutura,TI - Infraestrutura|TI - Desenvolvimento,9.3,3,Regular,2021-02-09
FORN-0058,Oeste Consultoria S.A.,02.053.950/2402-68,RS,Médio,Facilities - Limpeza,Facilities - Limpeza|Engenharia - Obras,5.6,2,Regular,2018-09-18
FORN-0059,Pro Administração Eireli,83.908.470/0766-17,RO,Grande,Engenharia - Obras,Engenharia - Obras|Treinamento e Capacitação,6.3,6,Vencido,2022-12-22
FORN-0060,Delta Tecnologia Eireli,49.985.698/4789-61,AP,Médio,TI - Licenciamento,TI - Licenciamento|Engenharia - Manutenção,6.7,3,Vencido,2019-04-14
FORN-0061,Oeste Transporte S.A.,65.766.156/5452-71,MG,Grande,Facilities - Recepção,Facilities - Recepção,9.5,3,Regular,2018-12-16
FORN-0062,Delta Gestão Ltda,80.988.516/5604-94,PA,Grande,Consultoria - Gestão,Consultoria - Gestão|Engenharia - Manutenção,7.5,5,Irregular,2019-03-01
FORN-0063,Elite Limpeza S.A.,31.585.149/3689-98,SP,EPP,Seguros,Seguros,9.3,3,Regular,2020-12-31
FORN-0064,Alpha Logística Eireli,50.229.612/0183-66,ES,Grande,Logística - Armazenagem,Logística - Armazenagem|Segurança Patrimonial,5.7,2,Irregular,2021-10-28
FORN-0065,Prime Telecomunicações Eireli,22.901.476/7976-43,AC,EPP,TI - Licenciamento,TI - Licenciamento|TI - Desenvolvimento,8.4,1,Irregular,2023-09-30
FORN-0066,Sigma Telecomunicações ME,84.036.900/3432-44,GO,ME,Seguros,Seguros,9.5,3,Vencido,2019-05-07
FORN-0067,Alpha Manutenção ME,83.885.160/6071-59,AM,Grande,Consultoria - Jurídica,Consultoria - Jurídica,5.3,5,Irregular,2022-07-15
FORN-0068,Net Gestão Eireli,52.975.161/3696-81,MA,EPP,TI - Infraestrutura,TI - Infraestrutura,5.4,3,Irregular,2021-06-24
FORN-0069,Sol Construções S.A.,18.188.355/2312-43,BA,ME,Facilities - Limpeza,Facilities - Limpeza,6.5,1,Regular,2019-09-19
FORN-0070,Norte Tecnologia S.A.,99.799.552/7177-44,PI,Médio,Seguros,Seguros|Treinamento e Capacitação|Consultoria - Jurídica,7.4,3,Regular,2018-08-19
FORN-0071,Smart Limpeza Ltda,00.541.199/8679-80,ES,Grande,Treinamento e Capacitação,Treinamento e Capacitação,7.8,1,Regular,2020-02-11
FORN-0072,Master Manutenção EPP,71.518.203/7788-92,PA,ME,TI - Desenvolvimento,TI - Desenvolvimento,7.5,1,Regular,2022-03-08
FORN-0073,Inter Digital ME,90.515.186/4492-51,PI,Médio,Segurança Patrimonial,Segurança Patrimonial,8.8,0,Regular,2019-08-03
FORN-0074,Inter Telecomunicações Eireli,14.865.281/6850-54,BA,Grande,Consultoria - Jurídica,Consultoria - Jurídica|Engenharia - Manutenção|Logística - Armazenagem,7.8,1,Regular,2020-05-27
FORN-0075,Master Manutenção S.A.,21.418.880/5929-62,BA,EPP,Engenharia - Manutenção,Engenharia - Manutenção,8.2,2,Irregular,2020-01-11
FORN-0076,Leste Logística ME,37.947.383/4735-97,ES,Grande,Consultoria - Gestão,Consultoria - Gestão,5.9,6,Vencido,2021-02-28
FORN-0077,Norte Infraestrutura EPP,92.407.581/8141-24,ES,ME,Facilities - Limpeza,Facilities - Limpeza|Facilities - Vigilância,7.3,2,Vencido,2023-10-04
FORN-0078,Omega Gestão Ltda,50.606.853/6153-05,RS,Grande,Facilities - Recepção,Facilities - Recepção|Treinamento e Capacitação|Seguros,8.5,0,Regular,2021-10-05
FORN-0079,Sul Consultoria S.A.,27.790.104/3289-86,RS,Médio,Seguros,Seguros,8.0,5,Regular,2021-03-26
