contrato_id,eap_id,fornecedor_id,fornecedor_nome,tipo_servico,categoria_contratacao,eap_padrao,valor_contratado,dt_assinatura,dt_vigencia_fim,vigencia_meses,num_aditivos,aditivos_valor_total,teve_rescisao,motivo_rescisao,dt_rescisao,num_penalidades,teve_atraso,dias_atraso_total,nota_fornecedor,porte_fornecedor
CT-2022-00001,EAP-2022-00001,FORN-0172,Fast Digital Eireli,TI - Desenvolvimento,Licitação,ARP Bens,443125.42,2022-07-12,2023-07-07,12,0,0.0,True,Falência/recuperação judicial do fornecedor,2022-11-10,0,False,0,7.5,ME
CT-2024-00002,EAP-2023-00002,FORN-0149,Tech Infraestrutura Eireli,Engenharia - Obras,Licitação,Contratação de Serviços,29499.56,2024-01-28,2026-01-17,24,0,0.0,False,,,0,False,0,8.1,ME
CT-2023-00003,EAP-2023-00003,FORN-0141,Norte Segurança S.A.,Consultoria - Gestão,Contratação Direta,Contratação Direta por Limite de Valor,67955.4,2023-10-17,2025-10-06,24,1,0.0,False,,,0,False,0,8.9,EPP
CT-2023-00004,EAP-2023-00004,FORN-0108,Omega Manutenção S.A.,Consultoria - Gestão,Licitação,Contratação de Serviços,57905.35,2023-11-06,2025-10-26,24,3,-7769.92,False,,,0,False,0,6.6,Médio
CT-2023-00005,EAP-2023-00005,FORN-0053,Sol Consultoria Ltda,Marketing e Comunicação,Licitação,ARP Engenharia,167570.68,2023-11-13,2024-11-07,12,0,0.0,False,,,0,False,0,9.2,Médio
CT-2025-00006,EAP-2025-00006,FORN-0052,Nacional Soluções EPP,TI - Desenvolvimento,Contratação Direta,Contratação Direta Exceto Limite de Valor,114870.47,2025-06-08,2026-06-03,12,0,0.0,False,,,0,True,22,9.1,Médio
CT-2023-00007,EAP-2023-00007,FORN-0176,Fast Gestão S.A.,TI - Desenvolvimento,Licitação,Contratação de Serviços,84132.89,2023-03-29,2025-03-18,24,1,0.0,False,,,0,False,0,10.0,EPP
CT-2023-00008,EAP-2022-00008,FORN-0120,Max Serviços Ltda,TI - Desenvolvimento,Licitação,Contratação de Serviços,1144761.38,2023-02-04,2025-01-24,24,0,0.0,False,,,2,False,0,9.8,Médio
CT-2024-00009,EAP-2023-00009,FORN-0027,Omega Segurança ME,Logística - Transporte,Licitação,ARP Engenharia,21625.69,2024-05-25,2026-05-15,24,0,0.0,False,,,0,False,0,8.4,Médio
CT-2024-00010,EAP-2024-00010,FORN-0273,Oeste Manutenção Eireli,Marketing e Comunicação,Licitação,ARP Bens,24734.05,2024-11-14,2026-11-04,24,2,0.0,False,,,0,True,8,7.0,Médio
