eap_id,eap_padrao,categoria_contratacao,modalidade,tipo_servico,objeto_resumido,unidade_demandante,valor_estimado,valor_contratado,dt_abertura,dt_assinatura,prazo_total_dias,num_etapas,fornecedor_vencedor_id,fornecedor_vencedor_nome,num_participantes,tem_intercorrencia,tipo_intercorrencia,status,urgencia,complexidade
EAP-2022-00001,ARP Bens,Licitação,Licitação Eletrônica,TI - Desenvolvimento,Contratação de ti - desenvolvimento para SUREF-PR,SUREF-PR,490552.43,443125.42,2022-04-19,2022-07-12,84.0,10,FORN-0172,Fast Digital Eireli,4,False,,Concluído,Normal,Média
EAP-2023-00002,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Obras,Contratação de engenharia - obras para SUREF-CE,SUREF-CE,34338.68,29499.56,2023-11-10,2024-01-28,79.0,10,FORN-0149,Tech Infraestrutura Eireli,6,False,,Concluído,Normal,Média
EAP-2023-00003,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Consultoria - Gestão,Contratação de consultoria - gestão para SUREF-PR,SUREF-PR,68917.11,67955.4,2023-09-15,2023-10-17,32.0,6,FORN-0141,Norte Segurança S.A.,1,False,,Concluído,Normal,Média
EAP-2023-00004,Contratação de Serviços,Licitação,Licitação Eletrônica,Consultoria - Gestão,Contratação de consultoria - gestão para SUREF-DF,SUREF-DF,75179.23,57905.35,2023-08-21,2023-11-06,77.0,10,FORN-0108,Omega Manutenção S.A.,4,False,,Concluído,Normal,Baixa
EAP-2023-00005,ARP Engenharia,Licitação,Licitação Eletrônica,Marketing e Comunicação,Contratação de marketing e comunicação para DIMAC,DIMAC,176586.67,167570.68,2023-07-24,2023-11-13,112.0,10,FORN-0053,Sol Consultoria Ltda,3,False,,Concluído,Urgente,Baixa
EAP-2025-00006,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,TI - Desenvolvimento,Contratação de ti - desenvolvimento para DIREO,DIREO,132207.35,114870.47,2025-04-26,2025-06-08,43.0,6,FORN-0052,Nacional Soluções EPP,2,False,,Concluído,Normal,Média
EAP-2023-00007,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Desenvolvimento,Contratação de ti - desenvolvimento para SUREF-SP,SUREF-SP,91454.94,84132.89,2023-01-06,2023-03-29,82.0,10,FORN-0176,Fast Gestão S.A.,9,False,,Concluído,Emergencial,Alta
EAP-2022-00008,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Desenvolvimento,Contratação de ti - desenvolvimento para SUREF-PR,SUREF-PR,1279143.49,1144761.38,2022-11-12,2023-02-04,84.0,10,FORN-0120,Max Serviços Ltda,7,False,,Concluído,Normal,Média
EAP-2023-00009,ARP Engenharia,Licitação,Licitação Eletrônica,Logística - Transporte,Contratação de logística - transporte para SUREF-BA,SUREF-BA,23004.62,21625.69,2023-12-08,2024-05-25,169.0,10,FORN-0027,Omega Segurança ME,6,True,Suspensão Judicial,Concluído,Normal,Média
EAP-2024-00010,ARP Bens,Licitação,Licitação Eletrônica,Marketing e Comunicação,Contratação de marketing e comunicação para DIRIS,DIRIS,29432.49,24734.05,2024-09-02,2024-11-14,73.0,10,FORN-0273,Oeste Manutenção Eireli,5,False,,Concluído,Normal,Média
EAP-2024-00011,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Obras,Contratação de engenharia - obras para DIGER,DIGER,1196833.39,1048208.33,2024-08-29,2025-01-04,128.0,10,FORN-0295,Prime Digital ME,7,True,Inabilitação de Licitante,Concluído,Normal,Média
EAP-2025-00012,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Treinamento e Capacitação,Contratação de treinamento e capacitação para SUREF-RJ,SUREF-RJ,88134.53,86914.51,2025-10-30,2026-01-11,73.0,6,FORN-0146,Pro Tecnologia S.A.,2,True,Diligência TCU,Concluído,Normal,Baixa
EAP-2023-00013,ARP Bens,Licitação,Licitação Eletrônica,Facilities - Limpeza,Contratação de facilities - limpeza para DIREO,DIREO,11195.0,9517.52,2023-06-07,,,10,,,9,False,,Em Andamento,Normal,Média
EAP-2024-00014,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Segurança Patrimonial,Contratação de segurança patrimonial para DICOM,DICOM,24407.15,22420.89,2024-11-30,2025-01-10,41.0,6,FORN-0007,Fast Transporte Eireli,1,False,,Concluído,Normal,Média
EAP-2022-00015,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Facilities - Limpeza,Contratação de facilities - limpeza para CENOP-DF,CENOP-DF,29505.33,28772.29,2022-07-20,2022-08-21,32.0,6,FORN-0202,Pro Limpeza S.A.,2,False,,Concluído,Normal,Baixa
EAP-2022-00016,ARP Bens,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para SUREF-PR,SUREF-PR,17976684.67,12685013.31,2022-07-08,2022-11-13,128.0,10,FORN-0112,Leste Soluções Ltda,4,True,Pedido de Esclarecimento,Concluído,Emergencial,Média
EAP-2022-00017,ARP Bens,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para SUREF-PE,SUREF-PE,53063.43,49999.84,2022-09-03,2022-11-20,78.0,10,FORN-0260,Global Segurança S.A.,4,True,Pedido de Esclarecimento,Concluído,Urgente,Média
EAP-2022-00018,Inexigibilidade,Inexigibilidade,Inexigibilidade,Segurança Patrimonial,Contratação de segurança patrimonial para DIFIN,DIFIN,96910.44,86603.82,2022-08-16,,,5,,,1,False,,Suspenso,Normal,Média
EAP-2025-00019,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para DIMAC,DIMAC,1504407.21,1206153.03,2025-08-01,2025-10-26,86.0,10,FORN-0219,Norte Limpeza S.A.,9,False,,Concluído,Normal,Média
EAP-2022-00020,ARP Bens,Licitação,Licitação Eletrônica,Engenharia - Obras,Contratação de engenharia - obras para CENOP-SP,CENOP-SP,195979.39,156679.79,2022-06-01,2022-08-31,91.0,10,FORN-0177,Sigma Gestão S.A.,9,False,,Concluído,Normal,Baixa
EAP-2022-00021,ARP Bens,Licitação,Licitação Eletrônica,Segurança Patrimonial,Contratação de segurança patrimonial para CENOP-DF,CENOP-DF,19578.83,18383.73,2022-05-23,2022-08-05,74.0,10,FORN-0007,Fast Transporte Eireli,8,False,,Concluído,Urgente,Média
