eap_id,eap_padrao,etapa_seq,etapa_nome,dt_inicio,dt_fim,duracao_dias,status_etapa,responsavel
EAP-2022-00001,ARP Bens,1,Análise da Demanda,2022-04-19,2022-05-01,12.0,Concluída,Equipe Técnica
EAP-2022-00001,ARP Bens,2,Complementação de Informações,2022-05-01,2022-05-11,10.0,Concluída,Equipe Técnica
EAP-2022-00001,ARP Bens,3,Elaboração do Edital,2022-05-11,2022-06-07,27.0,Concluída,Equipe Técnica
EAP-2022-00001,ARP Bens,4,Publicação do Edital,2022-06-07,2022-06-09,2.0,Concluída,Pregoeiro
EAP-2022-00001,ARP Bens,5,Prazo de Elaboração das Propostas,2022-06-09,2022-06-25,16.0,Concluída,Externo
EAP-2022-00001,ARP Bens,6,Sessão de Disputa,2022-06-25,2022-06-26,1.0,Concluída,Pregoeiro
EAP-2022-00001,ARP Bens,7,Habilitação,2022-06-26,2022-07-12,16.0,Concluída,Pregoeiro
EAP-2022-00001,ARP Bens,8,Declaração de Vencedor,2022-07-12,2022-07-16,4.0,Concluída,Pregoeiro
EAP-2022-00001,ARP Bens,9,Convocação para Assinatura,2022-07-16,2022-07-28,12.0,Concluída,Gestor do Contrato
EAP-2022-00001,ARP Bens,10,Assinatura do Contrato,2022-07-28,2022-08-05,8.0,Concluída,Ordenador
EAP-2023-00002,Contratação de Serviços,1,Análise da Demanda,2023-11-10,2023-11-21,11.0,Concluída,Equipe Técnica
EAP-2023-00002,Contratação de Serviços,2,Complementação de Informações,2023-11-21,2023-11-27,6.0,Concluída,Equipe Técnica
EAP-2023-00002,Contratação de Serviços,3,Elaboração do Edital,2023-11-27,2023-12-30,33.0,Concluída,Equipe Técnica
EAP-2023-00002,Contratação de Serviços,4,Publicação do Edital,2023-12-30,2024-01-01,2.0,Concluída,Pregoeiro
EAP-2023-00002,Contratação de Serviços,5,Prazo de Elaboração das Propostas,2024-01-01,2024-01-19,18.0,Concluída,Externo
EAP-2023-00002,Contratação de Serviços,6,Sessão de Disputa,2024-01-19,2024-01-20,1.0,Concluída,Pregoeiro
EAP-2023-00002,Contratação de Serviços,7,Habilitação,2024-01-20,2024-01-31,11.0,Concluída,Pregoeiro
EAP-2023-00002,Contratação de Serviços,8,Declaração de Vencedor,2024-01-31,2024-02-03,3.0,Concluída,Pregoeiro
EAP-2023-00002,Contratação de Serviços,9,Convocação para Assinatura,2024-02-03,2024-02-13,10.0,Concluída,Gestor do Contrato
EAP-2023-00002,Contratação de Serviços,10,Assinatura do Contrato,2024-02-13,2024-02-15,2.0,Concluída,Ordenador
EAP-2023-00003,Contratação Direta por Limite de Valor,1,Análise de Conformidade,2023-09-15,2023-09-19,4.0,Concluída,Equipe Técnica
EAP-2023-00003,Contratação Direta por Limite de Valor,2,Complementação de Informações,2023-09-19,2023-09-23,4.0,Concluída,Equipe Técnica
EAP-2023-00003,Contratação Direta por Limite de Valor,3,Verificação de Documentação,2023-09-23,2023-09-28,5.0,Concluída,Equipe Técnica
EAP-2023-00003,Contratação Direta por Limite de Valor,4,Ratificação/Aprovação,2023-09-28,2023-10-02,4.0,Concluída,Ordenador
EAP-2023-00003,Contratação Direta por Limite de Valor,5,Convocação para Assinatura,2023-10-02,2023-10-07,5.0,Concluída,Gestor do Contrato
EAP-2023-00003,Contratação Direta por Limite de Valor,6,Assinatura do Contrato,2023-10-07,2023-10-10,3.0,Concluída,Ordenador
EAP-2023-00004,Contratação de Serviços,1,Análise da Demanda,2023-08-21,2023-09-03,13.0,Concluída,Equipe Técnica
EAP-2023-00004,Contratação de Serviços,2,Complementação de Informações,2023-09-03,2023-09-15,12.0,Concluída,Equipe Técnica
EAP-2023-00004,Contratação de Serviços,3,Elaboração do Edital,2023-09-15,2023-10-08,23.0,Concluída,Equipe Técnica
EAP-2023-00004,Contratação de Serviços,4,Publicação do Edital,2023-10-08,2023-10-09,1.0,Concluída,Pregoeiro
EAP-2023-00004,Contratação de Serviços,5,Prazo de Elaboração das Propostas,2023-10-09,2023-10-29,20.0,Concluída,Externo
EAP-2023-00004,Contratação de Serviços,6,Sessão de Disputa,2023-10-29,2023-10-30,1.0,Concluída,Pregoeiro
EAP-2023-00004,Contratação de Serviços,7,Habilitação,2023-10-30,2023-11-07,8.0,Concluída,Pregoeiro
EAP-2023-00004,Contratação de Serviços,8,Declaração de Vencedor,2023-11-07,2023-11-08,1.0,Concluída,Pregoeiro
EAP-2023-00004,Contratação de Serviços,9,Convocação para Assinatura,2023-11-08,2023-11-17,9.0,Concluída,Gestor do Contrato
EAP-2023-00004,Contratação de Serviços,10,Assinatura do Contrato,2023-11-17,2023-11-25,8.0,Concluída,Ordenador
EAP-2023-00005,ARP Engenharia,1,Análise da Demanda,2023-07-24,2023-08-01,8.0,Concluída,Equipe Técnica
EAP-2023-00005,ARP Engenharia,2,Complementação de Informações,2023-08-01,2023-08-04,3.0,Concluída,Equipe Técnica
EAP-2023-00005,ARP Engenharia,3,Elaboração do Edital,2023-08-04,2023-09-12,39.0,Concluída,Equipe Técnica
EAP-2023-00005,ARP Engenharia,4,Publicação do Edital,2023-09-12,2023-09-15,3.0,Concluída,Pregoeiro
EAP-2023-00005,ARP Engenharia,5,Prazo de Elaboração das Propostas,2023-09-15,2023-10-01,16.0,Concluída,Externo
EAP-2023-00005,ARP Engenharia,6,Sessão de Disputa,2023-10-01,2023-10-02,1.0,Concluída,Pregoeiro
EAP-2023-00005,ARP Engenharia,7,Habilitação,2023-10-02,2023-10-15,13.0,Concluída,Pregoeiro
EAP-2023-00005,ARP Engenharia,8,Declaração de Vencedor,2023-10-15,2023-10-16,1.0,Concluída,Pregoeiro
EAP-2023-00005,ARP Engenharia,9,Convocação para Assinatura,2023-10-16,2023-10-20,4.0,Concluída,Gestor do Contrato
EAP-2023-00005,ARP Engenharia,10,Assinatura do Contrato,2023-10-20,2023-10-23,3.0,Concluída,Ordenador
