eap_id,fornecedor_id,valor_proposta,classificacao,vencedor,situacao
EAP-2022-00001,FORN-0172,389573.28,1,True,Habilitado
EAP-2022-00001,FORN-0202,447137.29,2,False,Habilitado
EAP-2022-00001,FORN-0276,440503.81,3,False,Habilitado
EAP-2022-00001,FORN-0076,506447.62,4,False,Habilitado
EAP-2023-00002,FORN-0149,27267.54,1,True,Habilitado
EAP-2023-00002,FORN-0040,35759.42,2,False,Habilitado
EAP-2023-00002,FORN-0213,31546.35,3,False,Habilitado
EAP-2023-00002,FORN-0050,28678.3,4,False,Inabilitado
EAP-2023-00002,FORN-0182,30931.54,5,False,Habilitado
EAP-2023-00002,FORN-0115,30521.55,6,False,Habilitado
EAP-2023-00003,FORN-0141,52404.92,1,True,Habilitado
EAP-2023-00004,FORN-0108,54926.3,1,True,Habilitado
EAP-2023-00004,FORN-0012,78521.96,2,False,Habilitado
EAP-2023-00004,FORN-0255,69951.15,3,False,Habilitado
EAP-2023-00004,FORN-0107,62773.29,4,False,Habilitado
EAP-2023-00005,FORN-0053,142423.01,1,True,Habilitado
EAP-2023-00005,FORN-0049,169885.6,2,False,Habilitado
EAP-2023-00005,FORN-0141,176923.68,3,False,Habilitado
EAP-2025-00006,FORN-0052,113041.4,1,True,Habilitado
EAP-2025-00006,FORN-0010,109982.21,2,False,Habilitado
EAP-2023-00007,FORN-0176,66542.6,1,True,Habilitado
EAP-2023-00007,FORN-0294,70952.16,2,False,Habilitado
EAP-2023-00007,FORN-0107,72048.93,3,False,Habilitado
EAP-2023-00007,FORN-0061,79658.78,4,False,Habilitado
EAP-2023-00007,FORN-0068,79953.21,5,False,Habilitado
EAP-2023-00007,FORN-0063,99902.78,6,False,Habilitado
EAP-2023-00007,FORN-0147,69314.8,7,False,Habilitado
EAP-2023-00007,FORN-0204,88829.96,8,False,Habilitado
EAP-2023-00007,FORN-0101,84953.24,9,False,Habilitado
EAP-2022-00008,FORN-0120,941986.61,1,True,Habilitado
EAP-2022-00008,FORN-0199,1384084.83,2,False,Habilitado
EAP-2022-00008,FORN-0152,1322450.77,3,False,Habilitado
EAP-2022-00008,FORN-0177,1058233.85,4,False,Habilitado
